,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving
13AUG28113145-M3DS-011017505030_01_P001_ALL_7_28,1537.0,12.0,154.0,1704.0,1678.8349530939897,25.165046906010367,33.0,1460.0,1438.9487279672326,21.051272032767287,29.0,1340.0,1327.8274801406412,12.17251985935881,18.0
13AUG28113145-M3DS-011017505030_01_P001_ALL_M1,107.0,2.0,68.0,168.0,162.22546095048017,5.774539049519822,34.0,134.0,129.43141238810753,4.5685876118924735,32.0,90.0,88.36811096539178,1.6318890346082244,22.0
13AUG28113211-M3DS-011017505020_01_P001_ALL_4_27,409.0,83.0,346.0,681.0,522.8771634496887,133.1228365503112,168.0,629.0,489.7039836265685,122.29601637343139,158.0,369.0,362.97147679285257,6.0285232071473445,120.0
13AUG28113211-M3DS-011017505020_01_P001_ALL_5_30,146.0,2.0,68.0,199.0,183.71172470242323,15.288275297576789,31.0,181.0,167.3131931463635,13.686806853636508,25.0,139.0,136.63968202065882,2.36031797934118,19.0
15JAN14110253-M3DS-011270707020_01_P001_ALL_M10,337.0,3.0,58.0,281.0,273.66157557110876,7.338424428891239,64.0,244.0,238.1311567522822,5.868843247717813,57.0,209.0,204.82427294968082,4.175727050319198,11.0
15JAN14110253-M3DS-011270707020_01_P001_ALL_M11,355.0,1.0,87.0,276.0,265.8780710511909,10.121928948809096,84.0,243.0,234.61622397971115,8.383776020288831,77.0,222.0,219.74988649832503,2.250113501674982,36.0
15JAN14110253-M3DS-011270707020_01_P001_ALL_M12,582.0,3.0,22.0,361.0,359.6004488489449,1.399551151055134,130.0,313.0,311.76055655183916,1.239443448160814,117.0,303.0,302.1774569396947,0.8225430603052798,6.0
15JAN14110253-M3DS-011270707020_01_P001_ALL_M9,306.0,14.0,119.0,260.0,245.1925443714935,14.807455628506464,106.0,218.0,204.68037976213776,13.319620237862233,98.0,163.0,159.67675193450572,3.323248065494266,43.0
15JAN14110312-M3DS-011270707010_01_P001_ALL_M13,345.0,1.0,35.0,285.0,278.68633823151197,6.313661768488028,72.0,233.0,227.97474285539337,5.025257144606614,63.0,222.0,217.4568011856485,4.5431988143514985,15.0
15JAN14110312-M3DS-011270707010_01_P001_ALL_M14,231.0,3.0,46.0,195.0,188.99250069163324,6.007499308366754,73.0,162.0,157.15282114511703,4.847178854882947,70.0,137.0,134.7544265467426,2.2455734532574088,19.0
15JAN14110312-M3DS-011270707010_01_P001_ALL_M15,801.0,70.0,61.0,742.0,713.7249554770964,28.275044522903677,104.0,634.0,610.3918483618752,23.608151638124813,90.0,553.0,543.4369680432249,9.563031956775058,7.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_10_10,846.0,28.0,126.0,652.0,601.305405186698,50.694594813302075,174.0,512.0,471.3717953342043,40.628204665795685,156.0,452.0,429.4319887442644,22.568011255735563,37.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_10_11,1062.0,5.0,117.0,846.0,829.0947592550327,16.9052407449673,172.0,665.0,652.4068565438021,12.5931434561979,157.0,632.0,622.8474310598117,9.152568940188324,17.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_10_12,558.0,9.0,62.0,404.0,396.2981587423862,7.701841257613763,122.0,322.0,315.0654099112287,6.934590088771332,104.0,296.0,292.1357537742959,3.8642462257040897,12.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_10_13,363.0,2.0,52.0,323.0,316.3713947981163,6.628605201883676,76.0,253.0,248.5575796918599,4.442420308140087,59.0,232.0,229.11807747673555,2.8819225232644414,12.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_10_14,698.0,2.0,57.0,577.0,563.6798983660066,13.32010163399353,99.0,458.0,448.3394227989173,9.660577201082635,89.0,430.0,422.7396411676948,7.260358832305147,12.0
