,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving
A road dual carriageway,157.0,109.0,260.0,340.0,202.44274809160305,137.55725190839695,102.0,295.0,175.64885496183206,119.35114503816794,93.0,105.0,62.51908396946565,42.48091603053435,74.0
A road link/rdbt/slip road,48.0,40.0,106.0,127.0,71.78260869565217,55.21739130434783,39.0,112.0,63.30434782608695,48.69565217391304,37.0,37.0,20.913043478260867,16.08695652173913,31.0
A road single carriageway,1617.0,260.0,1315.0,2443.0,2094.0,349.0,454.0,2049.0,1756.2857142857142,292.7142857142857,420.0,1094.0,937.7142857142857,156.28571428571428,267.0
Alley,180.0,0.0,1.0,152.0,152.0,0.0,26.0,114.0,114.0,0.0,19.0,114.0,114.0,0.0,0.0
B road dual carriageway,77.0,16.0,47.0,126.0,104.5531914893617,21.4468085106383,20.0,107.0,88.7872340425532,18.21276595744681,18.0,71.0,58.91489361702128,12.085106382978724,14.0
B road link/rdbt/slip road,29.0,19.0,43.0,54.0,30.648648648648646,23.351351351351354,19.0,44.0,24.972972972972972,19.027027027027028,16.0,15.0,8.513513513513512,6.486486486486487,11.0
B road single carriageway,1015.0,48.0,517.0,1267.0,1208.6513157894738,58.348684210526315,212.0,1066.0,1016.9078947368421,49.09210526315789,196.0,734.0,700.1973684210526,33.80263157894737,118.0
Local street dual carriageway,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Local street link/rdbt/slip rd,135.0,15.0,51.0,162.0,146.62025316455697,15.379746835443038,19.0,135.0,122.18354430379748,12.816455696202533,17.0,93.0,84.17088607594937,8.829113924050633,7.0
Local street sngle carriageway,40289.0,100.0,1480.0,37020.0,36930.1634310618,89.83656893819334,3561.0,32079.0,32001.153773771788,77.84622622820919,3101.0,31053.0,30977.643571711567,75.35642828843106,222.0
Minor road dual carriageway,65.0,2.0,81.0,91.0,88.28358208955224,2.716417910447761,39.0,76.0,73.73134328358209,2.2686567164179103,37.0,46.0,44.626865671641795,1.373134328358209,29.0
Minor road link/rdbt/slip road,31.0,16.0,61.0,98.0,65.33333333333333,32.666666666666664,15.0,67.0,44.666666666666664,22.333333333333332,14.0,12.0,8.0,4.0,9.0
Minor road single carriageway,3229.0,137.0,1000.0,3565.0,3424.1369578134286,140.86304218657162,501.0,3043.0,2922.7626262626263,120.23737373737374,451.0,2354.0,2260.9869281045753,93.01307189542484,207.0
Motorway dual carriageway,14.0,0.0,122.0,62.0,62.0,0.0,58.0,57.0,57.0,0.0,54.0,5.0,5.0,0.0,52.0
Motorway link/rdbt/slip road,0.0,0.0,32.0,24.0,0.0,0.0,13.0,17.0,0.0,0.0,12.0,,,,
Pedestrianised street,2.0,0.0,0.0,,,,,,,,,,,,
Primy A rd dual carriageway,76.0,160.0,833.0,604.0,197.81659388646287,406.1834061135371,330.0,524.0,171.61572052401746,352.38427947598257,314.0,46.0,15.065502183406114,30.934497816593886,295.0
Primy A rd link/rdbt/slip road,12.0,50.0,154.0,153.0,20.20754716981132,132.7924528301887,44.0,138.0,18.22641509433962,119.77358490566039,43.0,12.0,1.5849056603773586,10.415094339622641,39.0
Primy A rd single carriageway,510.0,220.0,624.0,1032.0,708.5577689243028,323.44223107569724,165.0,900.0,617.9282868525896,282.0717131474104,161.0,379.0,260.2164674634794,118.78353253652058,118.0
Pvt rd pub acc link/rdbt/slip,0.0,0.0,1.0,,,,,,,,,,,,
Pvt rd pub access dual c'way,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Pvt rd pub access single c'way,334.0,15.0,34.0,265.0,253.51156069364163,11.488439306358382,24.0,216.0,206.63583815028903,9.364161849710982,23.0,193.0,184.63294797687863,8.367052023121387,4.0
Pvt rd pvt acc link/rdbt/slip,265.0,2.0,3.0,182.0,180.70000000000002,1.3,19.0,165.0,163.82142857142858,1.1785714285714286,15.0,163.0,161.8357142857143,1.1642857142857141,0.0
Pvt rd pvt access single c'way,1403.0,0.0,32.0,1194.0,1194.0,0.0,111.0,995.0,995.0,0.0,89.0,975.0,975.0,0.0,5.0
Pvt rd pvt access dual c'way,,,,1.0,0.0,0.0,0.0,,,,,,,,
